user_id,conversation_id,rubric_1,rubric_2,rubric_3,rubric_4,rubric_5
7d8591de-831f-44df-81d1-24dfb0ea1d10,2856167_18_1,Yes,Yes,Not Applicable,No,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,2856205_121_2,Yes,No,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2898670_27_2,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2898733_18_2,Not Applicable,No,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2901019_23_2,Yes,No,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2915943_61_2,Not Applicable,Yes,Not Applicable,No,No
7d8591de-831f-44df-81d1-24dfb0ea1d10,2916172_42_1,Not Applicable,No,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2916344_54_1,Yes,No,Not Applicable,Yes,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,2916344_54_2,Not Applicable,No,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2927490_31_1,Yes,No,Not Applicable,Yes,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,2927785_18_2,Not Applicable,No,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2928098_8_2,Yes,No,Not Applicable,Yes,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,2928505_92_1,Yes,No,Not Applicable,No,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,2928616_51_2,Not Applicable,Yes,Yes,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2928702_46_1,Yes,No,Not Applicable,Yes,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,2939739_66_1,Not Applicable,No,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2949046_15_2,Yes,No,Not Applicable,Yes,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,2949288_58_2,Yes,No,Not Applicable,Yes,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,2949358_89_1,Not Applicable,Yes,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2949365_49_1,Not Applicable,No,Not Applicable,No,No
7d8591de-831f-44df-81d1-24dfb0ea1d10,2950057_118_1,Not Applicable,Yes,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2962429_51_2,Yes,No,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2963511_36_1,Not Applicable,No,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2963710_103_1,Yes,No,Not Applicable,No,No
7d8591de-831f-44df-81d1-24dfb0ea1d10,2963906_33_2,Yes,No,Not Applicable,Yes,No
7d8591de-831f-44df-81d1-24dfb0ea1d10,2964076_43_1,Yes,No,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2964109_39_1,Yes,No,Not Applicable,No,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,2979950_43_2,Yes,Yes,Not Applicable,Yes,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,2979999_58_2,Not Applicable,Yes,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2989226_2_1,Yes,No,Not Applicable,No,No
7d8591de-831f-44df-81d1-24dfb0ea1d10,2989406_98_1,Not Applicable,No,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,2990115_85_1,Yes,No,Yes,Yes,No
7d8591de-831f-44df-81d1-24dfb0ea1d10,3978685_37_1,Yes,No,Not Applicable,No,No
7d8591de-831f-44df-81d1-24dfb0ea1d10,3982385_33_1,Yes,No,Not Applicable,No,No
7d8591de-831f-44df-81d1-24dfb0ea1d10,3983473_16_1,Yes,No,Not Applicable,Yes,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,4014122_28_1,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,4054193_63_1,Not Applicable,Yes,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,4054686_35_1,Yes,Yes,Not Applicable,No,No
7d8591de-831f-44df-81d1-24dfb0ea1d10,4055638_29_2,Yes,No,Not Applicable,No,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,4079053_56_1,Yes,Yes,Not Applicable,No,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,4110589_12_2,Not Applicable,No,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,4111481_50_2,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,4111720_63_1,Not Applicable,No,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,4111720_63_2,Not Applicable,Yes,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,4111720_8_2,Not Applicable,No,No,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,4253946_62_2,Yes,Yes,Not Applicable,Yes,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,4256694_6_1,Yes,No,No,No,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,4297343_78_1,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000085_5,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000152_5,Not Applicable,Yes,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000176_1,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000190_4,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000198_2,Not Applicable,No,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000217_1,Not Applicable,No,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000237_3,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000332_3,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000392_5,Not Applicable,No,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000454_1,Not Applicable,Yes,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000490_4,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000538_5,Yes,No,Not Applicable,No,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000576_4,Yes,No,Not Applicable,No,No
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000593_3,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000689_5,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000800_5,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000809_2,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000831_2,Not Applicable,Yes,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000848_4,Not Applicable,Yes,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5000907_1,Not Applicable,Yes,Not Applicable,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,5001114_2,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,6000003_4,Not Applicable,Yes,Not Applicable,No,Yes
7d8591de-831f-44df-81d1-24dfb0ea1d10,6136632_14_1,Yes,No,Not Applicable,Yes,No
7d8591de-831f-44df-81d1-24dfb0ea1d10,6165898_51_1,Yes,Yes,Not Applicable,Yes,No
7d8591de-831f-44df-81d1-24dfb0ea1d10,6166703_62_1,Yes,No,Not Applicable,Yes,No
7d8591de-831f-44df-81d1-24dfb0ea1d10,6303165_12_2,Not Applicable,Yes,Not Applicable,No,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,6303295_3_1,Not Applicable,No,Yes,Yes,Not Applicable
7d8591de-831f-44df-81d1-24dfb0ea1d10,6349228_67_1,Yes,No,Not Applicable,No,No