conversation_id,lesson_topic,solution,question
2570448_42_1,5.4B.Solving with Order of Operations,,
2570448_42_2,5.4B.Solving with Order of Operations,,
2580534_104_1,6.7A.Order of Operations,,
2580534_104_2,6.7A.Order of Operations,,
2580534_34_1,6.7A.Order of Operations,,
2580534_34_2,6.7A.Order of Operations,,
2850057_13_1,3.4A.Subtracting Whole Numbers,,
2850057_13_2,3.4A.Subtracting Whole Numbers,,
2850095_108_1,2.4B.Addition and Subtraction Within 100,,
2850095_108_2,2.4B.Addition and Subtraction Within 100,,
2850525_35_1,3.6C.Concept of Area,,
2850525_35_2,3.6C.Concept of Area,,
2856156_34_1,4.5A.Geometric Lines,,
2856156_34_2,4.5A.Geometric Lines,,
2856167_175_1,3.6B.Quadrilaterals,,
2856167_175_2,3.6B.Quadrilaterals,,
2856167_18_1,3.6B.Quadrilaterals,,
2856167_18_2,3.6B.Quadrilaterals,,
2856167_86_1,3.6B.Quadrilaterals,,
2856167_86_2,3.6B.Quadrilaterals,,
2856205_121_1,3.6B.Quadrilaterals,,
2856205_121_2,3.6B.Quadrilaterals,,
2856205_78_1,3.6B.Quadrilaterals,,
2856205_78_2,3.6B.Quadrilaterals,,
2856614_71_1,2.9A.Length Problems,,
2856614_71_2,2.9A.Length Problems,,
2879167_39_1,3.4B.Rounding Whole Numbers,,
2879167_39_2,3.4B.Rounding Whole Numbers,,
2879185_27_1,3.4B.Rounding Whole Numbers,,
2879185_27_2,3.4B.Rounding Whole Numbers,,
2879218_70_1,4.2A.Place Value,,
2879218_70_2,4.2A.Place Value,,
2879242_61_1,5.2A.Place Value,,
2879242_61_2,5.2A.Place Value,,
2894376_13_1,4.4A.Subtracting Multi-Digit Numbers,,
2894376_13_2,4.4A.Subtracting Multi-Digit Numbers,,
2894783_32_1,2.8A.2- and 3-Dimensional Shapes,,
2894783_32_2,2.8A.2- and 3-Dimensional Shapes,,
2894825_52_1,2.8A.2- and 3-Dimensional Shapes,,
2894825_52_2,2.8A.2- and 3-Dimensional Shapes,,
2894845_58_1,3.6E.Shapes and Area,,
2894845_58_2,3.6E.Shapes and Area,,
2894869_50_1,2.8A.2- and 3-Dimensional Shapes,,
2894869_50_2,2.8A.2- and 3-Dimensional Shapes,,
2894872_74_1,3.6B.Quadrilaterals,,
2894872_74_2,3.6B.Quadrilaterals,,
2895004_27_1,3.6C.Concept of Area,,
2895004_27_2,3.6C.Concept of Area,,
2895049_24_1,4.5C.Perimeter,,
2895049_24_2,4.5C.Perimeter,,
2895097_49_1,5.7A.Word Problems with Standard Measurement,,
2895097_49_2,5.7A.Word Problems with Standard Measurement,,
2895106_109_1,4.5A.Geometric Lines,,
2895106_109_2,4.5A.Geometric Lines,,
2898666_60_1,5.2A.Place Value,,
2898666_60_2,5.2A.Place Value,,
2898670_106_1,4.2A.Place Value,,
2898670_106_2,4.2A.Place Value,,
2898670_114_1,4.2A.Place Value,,
2898670_114_2,4.2A.Place Value,,
2898670_27_1,4.2A.Place Value,,
2898670_27_2,4.2A.Place Value,,
2898671_110_1,3.4B.Rounding Whole Numbers,,
2898671_110_2,3.4B.Rounding Whole Numbers,,
2898683_32_1,4.2A.Place Value,,
2898683_32_2,4.2A.Place Value,,
2898683_72_1,4.2A.Place Value,,
2898683_72_2,4.2A.Place Value,,
2898695_31_1,4.2A.Place Value,,
2898695_31_2,4.2A.Place Value,,
2898719_80_1,4.2A.Place Value,,
2898719_80_2,4.2A.Place Value,,
2898733_18_1,3.4B.Rounding Whole Numbers,,
2898733_18_2,3.4B.Rounding Whole Numbers,,
2898754_37_1,5.2A.Place Value,,
2898754_37_2,5.2A.Place Value,,
2900612_47_1,4.4A.Adding Multi-Digit Numbers (Review) - 1,,
2900612_47_2,4.4A.Adding Multi-Digit Numbers (Review) - 1,,
2900622_138_1,3.6B.Quadrilaterals (Review) - 1,,
2900622_138_2,3.6B.Quadrilaterals (Review) - 1,,
2900622_172_1,3.6B.Quadrilaterals (Review) - 1,,
2900622_172_2,3.6B.Quadrilaterals (Review) - 1,,
2900622_55_1,3.6B.Quadrilaterals (Review) - 1,,
2900622_55_2,3.6B.Quadrilaterals (Review) - 1,,
2900642_15_1,3.4B.Rounding Whole Numbers,,
2900642_15_2,3.4B.Rounding Whole Numbers,,
2900864_55_1,3.4A.Subtracting Whole Numbers,,
2900864_55_2,3.4A.Subtracting Whole Numbers,,
2900916_26_1,3.4B.Rounding Whole Numbers,,
2900916_26_2,3.4B.Rounding Whole Numbers,,
2900983_52_1,4.5C.Area,,
2900983_52_2,4.5C.Area,,
2901013_26_1,5.3C.Multi-Digit Division with Two-Digit Divisors (Review) - 1,,
2901013_26_2,5.3C.Multi-Digit Division with Two-Digit Divisors (Review) - 1,,
2901019_23_1,4.6D.Classifying 2D Figures,,
2901019_23_2,4.6D.Classifying 2D Figures,,
2913327_21_1,3.5B.Word Problems with Division,,
2913327_21_2,3.5B.Word Problems with Division,,
2915943_61_1,4.2D.Rounding;3.6E.Shapes and Area,,
2915943_61_2,4.2D.Rounding;3.6E.Shapes and Area,,